,loss,accuracy,val_loss,val_accuracy,lr
0,7.4639434814453125,0.9384615421295166,7.88836145401001,0.5815548896789551,1e-04
1,5.736030101776123,0.9846153855323792,5.1192402839660645,0.9702743887901306,1e-04
2,4.543203353881836,0.9937388300895691,4.096473693847656,0.9878048896789551,1e-04
3,3.686509132385254,0.9953488111495972,3.3416640758514404,0.9923780560493469,1e-04
4,3.0290215015411377,0.99695885181427,2.75250244140625,0.9961889982223511,1e-04
5,2.5137407779693604,0.99695885181427,2.2941060066223145,0.9954268336296082,1e-04
6,2.101151704788208,0.9960644245147705,1.9324321746826172,0.9961889982223511,1e-04
7,1.7635843753814697,0.997137725353241,1.631999135017395,0.9954268336296082,1e-04
8,1.5457499027252197,0.9992844462394714,1.5016599893569946,0.9954268336296082,5e-05
9,1.422202229499817,0.9989266395568848,1.3868910074234009,0.9961889982223511,5e-05
10,1.3085702657699585,0.9985688924789429,1.288801670074463,0.9908536672592163,5e-05
11,1.2041723728179932,0.9982110857963562,1.184918999671936,0.9908536672592163,5e-05
12,1.1288315057754517,0.9992844462394714,1.1350712776184082,0.9923780560493469,2.5e-05
13,1.0827409029006958,0.9992844462394714,1.0907680988311768,0.9916158318519592,2.5e-05
14,1.0398430824279785,0.9989266395568848,1.0339927673339844,0.9954268336296082,2.5e-05
15,0.9972900748252869,0.9989266395568848,1.0012997388839722,0.9931402206420898,2.5e-05
16,0.9676974415779114,0.9987477660179138,0.9796900749206543,0.9931402206420898,1.25e-05
17,0.9489096403121948,0.9983899593353271,0.9533241987228394,0.9954268336296082,1.25e-05
18,0.9275134801864624,0.9989266395568848,0.9426437020301819,0.9923780560493469,1.25e-05
19,0.9105167984962463,0.9985688924789429,0.921733021736145,0.9931402206420898,1.25e-05
20,0.8935235142707825,0.999821126461029,0.9115046262741089,0.9931402206420898,6.25e-06
21,0.8845147490501404,0.9992844462394714,0.9037817120552063,0.9923780560493469,6.25e-06
22,0.8777434825897217,0.9985688924789429,0.8904387950897217,0.9954268336296082,6.25e-06
23,0.8676585555076599,0.9994633197784424,0.8821274638175964,0.9946646094322205,6.25e-06
24,0.8610561490058899,0.9987477660179138,0.8768627643585205,0.9946646094322205,3.125e-06
25,0.8570576310157776,0.9987477660179138,0.8735073208808899,0.9946646094322205,3.125e-06
26,0.8517019748687744,0.9992844462394714,0.8680995106697083,0.9954268336296082,3.125e-06
27,0.8472157716751099,0.9992844462394714,0.8630238771438599,0.9954268336296082,3.125e-06
28,0.8441497683525085,0.9996421933174133,0.8607692122459412,0.9954268336296082,1.5625e-06
29,0.8419822454452515,0.9992844462394714,0.8593412041664124,0.9954268336296082,1.5625e-06
30,0.8407579660415649,0.9991055727005005,0.8573946356773376,0.9954268336296082,1.5625e-06
31,0.8390259742736816,0.9987477660179138,0.8544545769691467,0.9954268336296082,1.5625e-06
32,0.8374019861221313,0.9987477660179138,0.8528833389282227,0.9954268336296082,1e-06
33,0.8354647755622864,0.9992844462394714,0.851257860660553,0.9954268336296082,1e-06
34,0.8340641260147095,0.9985688924789429,0.850662350654602,0.9954268336296082,1e-06
35,0.831598162651062,0.9992844462394714,0.8488349914550781,0.9954268336296082,1e-06
